Section,Mile,DTN,Elv,Desc,IndexSorted
2,86.3,0.4,4580,Southern Nantahala Wilderness,227
2,86.7,0.1,4734,Standing Indian,228
2,"","","",National Forest Rd,229
2,86.8,0.4,4780,Clay,230
2,87.2,0.2,4914,National Forest Rd,231
2,87.4,0.2,5019,National Forest Rd,232
2,87.6,3.6,5121,National Forest Rd,233
2,91.2,0.7,4438,Beech Gap,234
2,91.9,1.0,4471,Kilby Creek,235
2,92.9,1.1,4209,Coleman Gap,236
2,94.0,0.4,4648,Timber Ridge,237
2,94.4,0.0,4517,Carter Gap (old shelter),238
2,"","","",Carter Gap Shelter,239
2,"","","",Carter Gap,240
2,95.4,1.3,4917,Southern Nantahala Wilderness,241
2,96.7,1.5,4744,Little Ridgepole Mountain,242
2,98.2,0.9,4284,Betty Creek Gap,243
2,99.1,0.3,4491,Ball Creek Rd,244
2,99.4,0.5,4688,Big Butt,245
2,99.9,0.7,4730,Bearpen Gap,246
2,100.6,0.1,5206,Albert Mountain,247
2,100.7,0.5,5213,Albert Mountain,248
2,101.2,0.0,4954,Big Spring Gap Shelter,249
2,"","","",Bigspring Gap,250
2,101.3,3.1,4963,Pinnacle Mountain,251
2,104.4,2.2,4140,Glassmine Gap,252
2,106.6,0.2,3828,Rock Gap,253
2,106.8,0.0,3733,USFS 67 (Rock Gap),254
2,"","","",Rock Gap,255
2,107.3,0.1,3677,Middle Gap,256
2,107.4,0.0,3727,Wallace Gap,257
2,"","","",Allison Creek Rd,258
2,"","","",Wallace Gap,259
2,110.5,0.1,3690,Winding Stair Gap,260
2,"","","",Franklin  NC 28734,261
2,110.6,0.0,3684,Winding Stair Gap,262
2,"","","",Murphy Rd,263
2,"","","",Moore Creek,264
2,111.7,0.8,4064,Swinging Lick Gap,265
2,112.5,0.2,4442,Panther Knob,266
2,112.7,0.4,4448,Panther Gap,267
2,113.1,1.1,4350,Big Stamp,268
2,114.2,0.4,4681,Snowbird Gap,269
2,114.6,1.9,4845,Siler Bald,270
2,116.5,0.1,4245,Wayah Crest,271
2,"","","",State Rd 1310,272
2,116.6,0.0,4183,Wayah Gap,273
2,117.9,0.5,4625,No Official Name Or Unknown,274
2,118.4,2.2,5006,National Forest Rd,275
2,120.6,0.1,5269,Wayah Bald parking area,276
2,120.7,0.1,5282,Appalachian Trl,277
2,120.8,0.9,5334,Wayah Bald,278
2,121.7,1.5,4645,Wayah Bald Shelter,279
2,123.2,2.3,4399,Licklog Gap,280
2,125.5,0.0,4206,Burningtown Gap,281
2,"","","",Burningtown Gap,282
2,126.7,0.7,4898,Cold Spring,283
2,127.4,0.4,5137,Copper Ridge Bald,284
2,127.8,0.5,4993,Tellico Bald,285
2,128.3,0.4,4973,Black Bald,286
2,128.7,0.8,5019,Rocky Bald,287
2,129.5,0.8,4537,Macon,288
2,130.3,0.1,4015,Appalachian Trl,289
2,"","","",Tellico Gap,290
2,130.4,1.3,3858,State Rd 1365,291
2,"","","",Tellico Gap,292
2,131.7,0.1,4534,Appalachian Trl,293
2,131.8,0.9,4586,Wesser Bald,294
2,132.7,0.1,4120,Wesser Bald Shelter,295
2,132.8,1.3,4153,Fork Mountain,296
2,134.1,2.8,4028,Swain,297
2,136.9,0.7,2516,Swain,298
2,137.6,0.8,2083,Rufus Morgan,299
2,138.4,0.1,1729,Silvermine Rd,300
2,"","","",US Hwy 74,301
2,"","","",Silvermine Creek,302
2,"","","",Nantahala River,303
2,138.5,0.0,1719,Nantahala Gorge,304
2,138.6,1.2,1751,Lake/pond/tank,305
2,139.8,0.3,2431,Flint Ridge,306
2,140.1,1.4,2401,Watia Rd,307
2,"","","",Graham,308
2,141.5,0.0,3028,Grassy Gap,309
2,142.0,0.9,3303,Grassy Top,310
2,142.9,1.6,3631,Rock Creek,311
2,144.5,0.1,4698,Swim Bald,312
2,144.6,0.3,4639,Swain,313
2,144.9,0.5,4576,Graham,314
2,"","","",Sasafras Gap,315
2,145.4,1.1,4386,Sassafras Gap,316
2,146.5,0.3,5049,Cheoah Bald,317
2,146.8,2.3,4917,Appalachian Trl,318
2,149.1,1.1,3645,Locust Cove Gap,319
2,150.2,2.1,3536,Simp Gap,320
2,"","","",NC 143 (Stecoah Gap),321
2,"","","",Sweetwater Rd,322
2,152.3,0.5,3129,Stecoah Gap,323
2,152.8,0.6,3293,Appalachian Trl,324
2,153.4,1.2,3277,Sweetwater Gap,325
2,154.6,0.4,3841,Brown Fork Gap,326
2,155.0,2.7,3592,Brown Fork Gap,327
2,157.7,2.1,3608,Cody Gap,328
2,"","","",National Forests in North Carolina,329
2,159.8,0.0,3159,Graham,330
2,160.0,0.1,3008,Yellow Creek Gap,331
2,160.1,0.8,2936,Yellow Creek Gap,332
2,"","","",Wachachau Tower Rd,333
2,"","","",Yellow Creek Rd,334
2,"","","",Appalachian Trl,335
2,160.9,0.2,2864,Cable Gap,336
2,161.1,0.9,3024,Cable Gap,337
2,162.0,0.3,3585,Yellow Creek Mountains,338
2,162.3,1.0,3448,Black Gum Gap,339
2,163.3,0.3,3697,Bee Cove Lead,340
2,163.6,0.1,3546,Higlon Ridge,341
2,163.7,0.1,3467,Walker Gap,342
2,163.8,0.1,3425,Appalachian Trl,343
2,163.9,2.5,3343,Appalachian Trl,344
2,166.4,"",1745,State Hwy 28,345
3,166.4,0.0,1745,Fontana Dam  NC 28733,346
3,"","","",Fontana Village Marina,347
3,"","","",Fontana Dam NC,348
3,166.5,0.8,1725,Lake/pond/tank,349
3,167.3,0.1,1797,Fontana Dam,350
3,167.4,0.1,1814,Fontana Dam Rd,351
3,167.5,0.4,1850,Fontana Dam Picnic Area,352
3,167.9,0.1,1725,Fontana Dam Visitors Center,353
3,168.0,0.1,1673,Lake/pond/tank,354
3,"","","",Little Tennessee River,355
3,168.1,0.1,1669,Swain,356
3,168.2,0.8,1663,Fontana Lake,357
3,169.0,3.4,1876,Fontana Dam North Trailhead,358
3,172.4,0.3,3841,Shuckstack,359
3,172.7,0.6,3674,Sassafras Gap,360
3,173.3,0.3,3704,Red Ridge Gap,361
3,173.6,1.9,3720,Birch Spring Gap,362
3,175.5,0.3,4258,Doe Ridge,363
3,175.8,0.1,4419,Buck Gap,364
3,175.9,0.4,4484,Doe Knob,365
3,176.3,0.1,4350,Mud Gap,366
3,176.4,0.2,4324,Powell Ridge,367
3,176.6,0.3,4327,Powell Knob,368
3,"","","",Swain,369
3,176.9,0.1,4094,North Carolina,370
3,177.0,0.3,3999,Blount,371
3,"","","",Tennessee,372
3,177.3,0.3,3845,Ekaneetlee Gap,373
3,177.6,1.0,4009,Ekaneetlee Creek,374
3,178.6,0.4,4353,Lawson Gant Lot,375
3,179.0,0.3,4583,Mollies Ridge Shelter,376
3,179.3,0.1,4750,Devils Tater Patch,377
3,179.4,0.3,4675,Big Grill Ridge,378
3,179.7,0.8,4747,Little Bald,379
3,180.5,0.6,4212,Little Abrams Gap,380
3,181.1,1.1,4094,Big Abrams Gap,381
3,182.2,0.2,4340,Russell Field Shelter,382
3,182.4,0.1,4327,McCampbell Knob,383
3,182.5,0.8,4307,McCampbell Gap,384
3,183.3,0.4,4599,Maple Sugar Gap,385
3,183.7,0.7,4776,Nuna Ridge,386
3,184.4,0.6,5013,Anthony Ridge,387
3,"","","",Mount Squires,388
3,185.0,0.0,4947,Spence Field,389
3,"","","",Spence Field,390
3,186.2,0.1,5426,Rocky Top,391
3,"","","",Swain,392
3,186.3,0.1,5393,North Carolina,393
3,186.4,0.5,5433,Blount,394
3,"","","",Tennessee,395
3,186.9,0.0,5449,Spring,396
3,"","","",Thunderhead Mountain,397
3,187.9,0.8,4862,Beechnut Gap,398
3,188.7,0.0,5068,Saddleback Ridge,399
3,"","","",Mineral Gap,400
3,188.8,0.7,5088,Brier Knob,401
3,189.5,0.5,4501,Starkey Gap,402
3,190.0,0.2,4668,Sevier,403
3,190.2,0.9,4402,Sugartree Gap,404
3,"","","",Chestnut Ridge,405
3,191.1,0.2,4855,Little Chestnut Bald,406
3,"","","",Derrick Knob,407
3,191.3,0.0,4839,Spring,408
3,191.4,0.2,4858,Big Chestnut Bald,409
3,191.6,0.3,4727,Sams Gap,410
3,191.9,0.7,4852,Mount Davis,411
3,192.6,1.1,4770,Hemlock Knob,412
3,193.7,0.3,5206,Cold Spring Knob,413
3,"","","",Sevier,414
3,194.0,0.0,4970,Tennessee,415
3,194.2,0.3,4829,Buckeye Gap,416
3,"","","",Swain,417
3,194.5,0.0,4990,North Carolina,418
3,195.7,1.1,5193,Proctor Ridge,419
3,"","","",Silers Bald,420
3,196.8,0.0,5436,Spring,421
3,197.0,0.1,5541,Silers Lead,422
3,"","","",Welch Ridge,423
3,197.1,0.3,5583,Silers Bald,424
3,197.4,0.3,5301,The Narrows,425
3,197.7,0.4,5400,Monteith Ridge,426
3,198.1,0.3,5534,Suli Ridge,427
3,198.4,0.1,5524,Jenkins Knob,428
3,198.5,0.0,5488,Double Spring Gap,429
3,"","","",Jenkins Ridge,430
3,"","","",Spring,431
3,198.6,1.7,5485,Double Spring Gap,432
3,200.3,0.6,6115,Loggy Ridge,433
3,"","","",Devils Court House Ridge,434
3,200.9,0.5,6473,Mount Buckley,435
3,201.4,0.1,6607,Clingmans Dome,436
3,201.5,0.5,6601,Clingmans Dome,437
3,202.0,0.7,6358,Mount Love,438
3,"","","",Swain,439
3,"","","",Sevier,440
3,202.7,0.0,6033,North Carolina,441
3,"","","",Tennessee,442
3,203.2,1.1,5744,Collins Gap,443
3,204.3,0.7,6171,Mount Collins,444
3,205.0,2.4,5869,Mount Collins,445
3,207.4,0.8,5262,Clingman's Dome Road (Indian Gap),446
3,208.2,0.9,5374,Indian Gap,447
3,"","","",Gatlinburg  TN 37738,448
3,"","","",US 441 (Newfound Gap),449
3,209.1,0.0,5000,State Rte 71,450
3,"","","",Newfound Gap,451
3,211.6,0.2,6089,Mount Ambler,452
3,"","","",Sevier,453
3,211.8,0.1,6033,Tennessee,454
3,"","","",Swain,455
3,211.9,0.0,6036,North Carolina,456
3,212.2,0.8,5918,Icewater Spring,457
3,213.0,0.4,5587,Masa Knob,458
3,213.4,0.3,5423,Charlies Bunion,459
3,213.7,0.6,5426,Dry Sluice Gap,460
3,214.3,0.2,5377,The Sawteeth,461
3,214.5,0.3,5324,Porters Gap,462
3,214.8,0.9,5511,Porters Mountain,463
3,215.7,1.4,5226,False Gap,464
3,217.1,2.3,5777,Laurel Top,465
3,219.4,0.1,5561,Hughes Ridge,466
3,219.5,0.1,5561,Pecks Corner,467
3,219.6,0.9,5567,Pecks Corner,468
3,220.5,0.9,5833,Katalsta Ridge,469
3,221.4,0.5,5498,Copper Gap,470
3,221.9,0.2,5830,Sevier,471
3,"","","",Tennessee,472
3,"","","",Swain,473
3,222.1,0.0,5951,North Carolina,474
3,"","","",Mount Sequoyah,475
3,222.5,2.4,6000,Raven Ridge,476
3,224.9,0.2,5908,Tri-corner Knob,477
3,225.1,0.2,5961,Tricorner Knob,478
3,225.3,0.8,5944,Haywood,479
3,226.1,0.2,6299,Guyot Spur,480
3,226.3,0.3,6302,Spring,481
3,226.6,0.2,6276,Ramsey Prong,482
3,"","","",Ramsey Prong,483
3,226.8,0.5,6236,Spring,484
3,"","","",Cocke,485
3,227.3,0.0,6240,Old Black,486
3,227.8,0.7,6043,Deer Creek Gap,487
3,228.5,0.1,5915,Yellow Creek Gap,488
3,228.6,1.4,5902,Inadu Knob,489
3,230.0,0.2,5068,Camel Hump Knob,490
3,230.2,0.9,5032,Camel Hump Mountain,491
3,231.1,0.5,4675,Camel Gap,492
3,231.6,0.4,4960,Ross Knob,493
3,232.0,0.0,5045,Cocke,494
3,"","","",Tennessee,495
3,232.1,0.0,5029,Haywood,496
3,"","","",North Carolina,497
3,232.3,0.4,5036,Cosby Knob,498
3,232.7,0.7,4786,Cosby Knob,499
3,233.4,0.9,4238,Low Gap,500
3,234.3,0.4,4744,Rocky Face Mountain,501
3,234.7,0.6,4904,Sunup Knob,502
3,235.3,4.5,4901,Cammerer Ridge,503
3,239.8,0.9,2641,Davenport Gap,504
3,"","","",Haywood,505
3,240.7,0.1,2004,North Carolina,506
3,"","","",Davenport Gap,507
3,240.8,0.1,1994,Mount Sterling Rd,508
3,"","","",National Forests in North Carolina,509
3,"","","",Davenport Gap,510
3,"","","",Cherokee National Forest,511
3,"","","",Cocke,512
3,240.9,0.0,2063,Tennessee,513
3,242.2,0.1,1381,Tobes Creek,514
3,"","","",Waterville Rd,515
3,242.3,0.2,1358,Pigeon River,516
3,"","","",I-40,517
3,242.5,0.1,1450,I-40,518
3,242.6,0.0,1469,Waterville School Road,519
3,"","","",Green Corner Rd,520
3,248.0,0.6,4251,Snowbird Mountain,521
3,248.6,0.2,4146,Wildcat Top,522
3,248.8,0.4,4045,Holly Bottom Branch,523
3,249.2,0.4,3700,Turkey Gap,524
3,249.6,0.9,3553,Turkey Gap,525
3,"","","",Gulf Rd,526
3,250.5,0.0,2900,Deep Gap,527
3,"","","",Deep Gap,528
3,250.7,1.2,2982,Groundhog Creek,529
3,"","","",National Forests in North Carolina,530
3,"","","",Cocke,531
3,"","","",Haywood,532
3,251.9,0.2,3526,Tennessee,533
3,"","","",North Carolina,534
3,252.1,0.6,3549,Cherokee National Forest,535
3,252.7,0.6,3861,Flat Ridge,536
3,253.3,0.1,3484,Brown Gap,537
3,253.4,2.7,3480,Brown Gap,538
3,"","","",State Road 1182,539
3,"","","",State Rd 1182,540
3,256.1,0.1,4242,Madison,541
3,"","","",NC 1182 (Max Patch),542
3,256.2,0.7,4225,West Fork Little Creek,543
3,256.9,1.0,4609,Max Patch Mountain,544
3,257.9,0.8,4235,Buckeye Ridge,545
3,258.7,0.2,4015,Roaring Fork,546
3,258.9,2.8,3946,Roaring Fork,547
3,261.7,0.5,3540,Roaring Fork (old shelter location),548
3,"","","",Lemon Gap,549
3,"","","",National Forests in North Carolina,550
3,"","","",Cherokee National Forest,551
3,"","","",Madison,552
3,"","","",Cocke,553
3,262.2,0.0,3513,North Carolina,554
3,"","","",Tennessee,555
3,"","","",Lemon Gap,556
3,262.3,0.6,3549,Rattlesnake Branch Rd,557
3,262.9,0.6,3933,Lemon Prong,558
3,263.5,0.5,4248,Walnut Mountain,559
3,264.0,0.3,3933,Fall Branch,560
3,264.3,0.2,3677,Kale Gap,561
3,264.5,0.5,3815,Wolf Creek,562
3,265.0,1.0,4130,Catpen Gap,563
3,266.0,2.0,4675,Bluff Mountain,564
3,268.0,2.1,3464,Jones Branch,565
3,"","","",Garenflo Gap,566
3,270.1,0.0,2467,Gorenflo Gap Rd,567
3,"","","",Garenflo Gap,568
3,270.7,0.5,2624,Taylor Hollow Gap,569
3,271.2,1.8,2831,East Fork Shut-In Creek,570
3,273.0,0.5,2585,Canebrake Ridge,571
3,"","","",Deer Park,572
3,273.5,0.0,2309,Gragg Gap,573
3,274.2,"",2585,Deer Park Mountain,574
4,"","","",Hot Springs  NC 28743,575
4,"","","",Trail head parking in Hot Springs,576
4,276.5,0.1,1397,S Serpentine Ave,577
4,"","","",Hot Springs NC,578
4,276.6,0.2,1345,Appalachian Trail Hwy,579
4,276.8,0.2,1338,Walnut St,580
4,"","","",S Spring St,581
4,277.0,0.0,1325,Spring Creek,582
4,277.1,0.1,1328,Andrews Ave S,583
4,277.2,0.1,1315,French Broad River,584
4,277.3,0.1,1328,Silvermine Rd,585
4,277.4,1.7,1315,Silver Mine Creek,586
4,279.1,1.1,2293,Lovers Leap Ridge,587
4,280.2,1.5,2096,Pump Gap,588
4,281.7,0.1,2460,Lake/pond/tank,589
4,281.8,0.3,2536,Mill Ridge Rd,590
4,282.1,0.7,2585,Mill Ridge,591
4,282.8,0.0,2263,US Hwy 70,592
4,"","","",Tanyard Gap,593
4,283.5,0.8,2627,Silver Mine Creek,594
4,"","","",National Forests in North Carolina,595
4,"","","",Madison,596
4,284.3,1.5,3097,North Carolina,597
4,"","","",Cherokee National Forest,598
4,"","","",Greene,599
4,285.8,0.2,3244,Tennessee,600
4,286.0,0.2,2995,Lookout Mountain Rd,601
4,286.2,1.7,2952,Hurricane Gap,602
4,287.9,0.3,3536,Spring Mountain,603
4,288.2,1.6,3618,Spring Mountain,604
4,289.8,1.9,2933,Deep Gap,605
4,"","","",Asheville Hwy,606
4,291.7,0.1,2227,Allen Gap,607
4,291.8,2.6,2224,TN 70 (Allen Gap),608
4,"","","",National Forests in North Carolina,609
4,"","","",Madison,610
4,294.4,0.1,3093,North Carolina,611
4,"","","",Cherokee National Forest,612
4,294.5,0.0,3090,Greene,613
4,"","","",Tennessee,614
4,296.6,1.3,3654,Little Laurel,615
4,297.9,0.2,4721,Seng Ridge,616
4,298.1,1.8,4658,Camp Creek Bald,617
4,299.9,0.2,4481,Little Firescald Knob,618
4,"","","",Little Firescald Knob,619
4,300.1,0.6,4406,Bearwallow Gap,620
4,300.7,0.9,4458,Big Firescald Knob,621
4,301.6,0.3,4169,Fox Cabin Gap,622
4,301.9,0.6,4101,Lick Log Gap,623
4,302.5,0.6,4353,Bald Mountain,624
4,303.1,0.2,4261,Andrew Johnson Mountain,625
4,303.3,0.0,4146,Jerry's Cabin,626
4,"","","",Spring,627
4,303.4,1.5,4120,Chestnutlog Gap,628
4,"","","",Cherokee National Forest,629
4,"","","",National Forests in North Carolina,630
4,"","","",Greene,631
4,304.9,0.2,4678,Madison,632
4,"","","",Tennessee,633
4,"","","",North Carolina,634
4,305.1,0.1,4803,Big Butt,635
4,305.2,0.6,4809,Coldspring Mountain,636
4,305.8,2.1,4698,Gravel Knob,637
4,307.9,0.4,3930,Coldspring Mountain,638
4,308.3,0.0,3490,Unicoi,639
4,"","","",Flint Gap,640
4,309.1,1.2,3566,Flint Mountain,641
4,310.3,1.5,3389,Locust Ridge,642
4,311.8,0.0,3097,Devil's Fork Gap,643
4,"","","",Devil Fork Gap,644
