"Mile","Elev","Type","Name","Link","index","Type"
"73.4","3656","Pri/Sec","Appalachian Trl","https://www.postholer.com/databook/Appalachian-Trail/Road/Appalachian-Trl/34.939/-83.602/3","2","S"
"75.7","3015","Pri/Sec","Charlies Creek Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/Charlies-Creek-Rd/34.959/-83.596/3","2","S"
"78.8","3789","Pri/Sec","Appalachian Trl","https://www.postholer.com/databook/Appalachian-Trail/Road/Appalachian-Trl/34.994/-83.600/3","2","S"
"85.7","4337","Pri/Sec","National Forest Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/National-Forest-Rd/35.039/-83.553/3","2","S"
"86.7","4734","Pri/Sec","National Forest Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/National-Forest-Rd/35.041/-83.548/3","2","S"
"87.2","4914","Pri/Sec","National Forest Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/National-Forest-Rd/35.041/-83.543/3","2","S"
"87.4","5008","Pri/Sec","National Forest Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/National-Forest-Rd/35.038/-83.545/3","2","S"
"87.6","5122","Pri/Sec","National Forest Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/National-Forest-Rd/35.039/-83.544/3","2","S"
"99.1","4491","Pri/Sec","Ball Creek Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/Ball-Creek-Rd/35.035/-83.470/3","2","S"
"107.4","3750","State","State Rd 1448","https://www.postholer.com/databook/Appalachian-Trail/Road/State-Rd-1448/35.098/-83.527/3","2","S"
"110.6","3684","US","US Hwy 64","https://www.postholer.com/databook/Appalachian-Trail/Road/Us-Hwy-64/35.120/-83.547/3","2","S"
"116.6","4130","State","State Rd 1310","https://www.postholer.com/databook/Appalachian-Trail/Road/State-Rd-1310/35.154/-83.580/3","2","S"
"118.4","5006","Pri/Sec","National Forest Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/National-Forest-Rd/35.171/-83.583/3","2","S"
"120.7","5282","Pri/Sec","Appalachian Trl","https://www.postholer.com/databook/Appalachian-Trail/Road/Appalachian-Trl/35.179/-83.562/3","2","S"
"130.4","3858","State","State Rd 1365","https://www.postholer.com/databook/Appalachian-Trail/Road/State-Rd-1365/35.268/-83.572/3","2","S"
"131.7","4534","Pri/Sec","Appalachian Trl","https://www.postholer.com/databook/Appalachian-Trail/Road/Appalachian-Trl/35.277/-83.577/3","2","S"
"138.4","1729","State","State Rd 1103","https://www.postholer.com/databook/Appalachian-Trail/Road/State-Rd-1103/35.331/-83.592/3","2","S"
"138.4","1727","US","US Hwy 19","https://www.postholer.com/databook/Appalachian-Trail/Road/Us-Hwy-19/35.331/-83.592/3","2","S"
"140.1","2401","Pri/Sec","Watia Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/Watia-Rd/35.341/-83.605/3","2","S"
"146.8","4919","Pri/Sec","Appalachian Trl","https://www.postholer.com/databook/Appalachian-Trail/Road/Appalachian-Trl/35.324/-83.685/3","2","S"
"152.3","3129","State","State Hwy 143","https://www.postholer.com/databook/Appalachian-Trail/Road/State-Hwy-143/35.358/-83.718/3","2","S"
"160.1","2929","Pri/Sec","Wachachau Tower Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/Wachachau-Tower-Rd/35.411/-83.766/3","2","S"
"160.1","2929","County","Co Rd 1242","https://www.postholer.com/databook/Appalachian-Trail/Road/Co-Rd-1242/35.411/-83.766/3","2","S"
"163.8","3425","Pri/Sec","Appalachian Trl","https://www.postholer.com/databook/Appalachian-Trail/Road/Appalachian-Trl/35.424/-83.804/3","2","S"
"163.9","3343","Pri/Sec","Appalachian Trl","https://www.postholer.com/databook/Appalachian-Trail/Road/Appalachian-Trl/35.425/-83.803/3","2","S"
"166.4","1745","State","State Hwy 28","https://www.postholer.com/databook/Appalachian-Trail/Road/State-Hwy-28/35.441/-83.795/3","2","S"
"166.6","1797","Pri/Sec","Appalachian Trl","https://www.postholer.com/databook/Appalachian-Trail/Road/Appalachian-Trl/35.442/-83.795/3","3","S"
"167.4","1812","County","Co Rd 1245","https://www.postholer.com/databook/Appalachian-Trail/Road/Co-Rd-1245/35.448/-83.796/3","3","S"
"209.1","5000","US","US Hwy 441","https://www.postholer.com/databook/Appalachian-Trail/Road/Us-Hwy-441/35.611/-83.425/3","3","S"
"240.8","1994","State","State Rd 1397","https://www.postholer.com/databook/Appalachian-Trail/Road/State-Rd-1397/35.771/-83.111/3","3","S"
"242.3","1381","Pri/Sec","Waterville Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/Waterville-Rd/35.785/-83.113/3","3","S"
"242.5","1440","Interstate","I- 40","https://www.postholer.com/databook/Appalachian-Trail/Road/I--40/35.784/-83.110/3","3","S"
"242.5","1450","Interstate","I- 40","https://www.postholer.com/databook/Appalachian-Trail/Road/I--40/35.784/-83.110/3","3","S"
"242.6","1443","Pri/Sec","Green Corner Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/Green-Corner-Rd/35.784/-83.110/3","3","S"
"250.5","2906","Pri/Sec","Gulf Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/Gulf-Rd/35.784/-83.025/3","3","S"
"256.1","4242","State","State Rd 1182","https://www.postholer.com/databook/Appalachian-Trail/Road/State-Rd-1182/35.792/-82.962/3","3","S"
"262.3","3549","Pri/Sec","Rattlesnake Branch Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/Rattlesnake-Branch-Rd/35.826/-82.937/3","3","S"
"270.1","2467","State","State Rd 1173","https://www.postholer.com/databook/Appalachian-Trail/Road/State-Rd-1173/35.854/-82.876/3","3","S"
"276.5","1397","Pri/Sec","S Serpentine Ave","https://www.postholer.com/databook/Appalachian-Trail/Road/S-Serpentine-Ave/35.890/-82.832/3","4","S"
"276.6","1345","State","State Hwy 209","https://www.postholer.com/databook/Appalachian-Trail/Road/State-Hwy-209/35.890/-82.832/3","4","S"
"276.8","1338","Pri/Sec","Walnut St","https://www.postholer.com/databook/Appalachian-Trail/Road/Walnut-St/35.892/-82.830/3","4","S"
"277.0","1326","Pri/Sec","S Spring St","https://www.postholer.com/databook/Appalachian-Trail/Road/S-Spring-St/35.893/-82.827/3","4","S"
"277.1","1328","Pri/Sec","Andrews Ave S","https://www.postholer.com/databook/Appalachian-Trail/Road/Andrews-Ave-S/35.893/-82.826/3","4","S"
"277.3","1327","Pri/Sec","Silvermine Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/Silvermine-Rd/35.894/-82.822/3","4","S"
"281.8","2536","Pri/Sec","Mill Ridge Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/Mill-Ridge-Rd/35.902/-82.790/3","4","S"
"282.8","2263","US","US Hwy 70","https://www.postholer.com/databook/Appalachian-Trail/Road/Us-Hwy-70/35.910/-82.791/3","4","S"
"286.0","2995","Pri/Sec","Lookout Mountain Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/Lookout-Mountain-Rd/35.934/-82.805/3","4","S"
"291.7","2228","State","State Rte 70","https://www.postholer.com/databook/Appalachian-Trail/Road/State-Rte-70/35.987/-82.787/3","4","S"
"311.9","3097","State","State Hwy 212","https://www.postholer.com/databook/Appalachian-Trail/Road/State-Hwy-212/36.010/-82.609/3","4","S"
"312.4","2953","Pri/Sec","Rector Laurel Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/Rector-Laurel-Rd/36.006/-82.607/3","4","S"
"320.9","3756","US","US Hwy 23","https://www.postholer.com/databook/Appalachian-Trail/Road/Us-Hwy-23/35.954/-82.561/3","4","S"
"320.9","3744","Interstate","I- 26","https://www.postholer.com/databook/Appalachian-Trail/Road/I--26/35.954/-82.561/3","4","S"
"320.9","3745","Interstate","I- 26","https://www.postholer.com/databook/Appalachian-Trail/Road/I--26/35.954/-82.561/3","4","S"
"323.3","4130","Pri/Sec","Streets Gap Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/Streets-Gap-Rd/35.969/-82.539/3","4","S"
"334.5","3175","US","US Hwy 19W","https://www.postholer.com/databook/Appalachian-Trail/Road/Us-Hwy-19w/36.032/-82.421/3","4","S"
"345.7","1683","Pri/Sec","Unaka Springs Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/Unaka-Springs-Rd/36.105/-82.449/3","4","S"
"345.8","1669","Pri/Sec","Old Asheville Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/Old-Asheville-Rd/36.105/-82.448/3","4","S"
"345.9","1686","Pri/Sec","Jones Branch Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/Jones-Branch-Rd/36.105/-82.447/3","4","S"
"354.2","3348","Pri/Sec","Ephriam Place Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/Ephriam-Place-Rd/36.111/-82.361/3","4","S"
"354.2","3349","State","State Hwy 197","https://www.postholer.com/databook/Appalachian-Trail/Road/State-Hwy-197/36.111/-82.361/3","4","S"
"354.2","3346","Pri/Sec","Beauty Spot Gap Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/Beauty-Spot-Gap-Rd/36.111/-82.361/3","4","S"
"358.6","4455","Pri/Sec","Unaka Mountain Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/Unaka-Mountain-Rd/36.127/-82.309/3","4","S"
"366.0","3694","State","State Rte 107","https://www.postholer.com/databook/Appalachian-Trail/Road/State-Rte-107/36.143/-82.233/3","4","S"
"370.1","4028","State","State Rd 1331","https://www.postholer.com/databook/Appalachian-Trail/Road/State-Rd-1331/36.148/-82.186/3","4","S"
"375.2","4032","Pri/Sec","Hughes Gap Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/Hughes-Gap-Rd/36.137/-82.141/3","4","S"
"380.1","5505","Pri/Sec","Roane Dr","https://www.postholer.com/databook/Appalachian-Trail/Road/Roane-Dr/36.106/-82.110/3","4","S"
"380.2","5505","State","State Hwy 261","https://www.postholer.com/databook/Appalachian-Trail/Road/State-Hwy-261/36.106/-82.110/3","4","S"
"393.9","2854","US","US Hwy 19E","https://www.postholer.com/databook/Appalachian-Trail/Road/Us-Hwy-19e/36.178/-82.012/3","4","S"
"394.1","2877","Pri/Sec","Bear Branch Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/Bear-Branch-Rd/36.179/-82.013/3","5","S"
"397.1","3500","Pri/Sec","Buck Mountain Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/Buck-Mountain-Rd/36.201/-81.999/3","5","S"
"397.4","3392","Pri/Sec","Campbell Hollow Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/Campbell-Hollow-Rd/36.204/-81.997/3","5","S"
"404.2","3611","Pri/Sec","Walnut Mountain Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/Walnut-Mountain-Rd/36.222/-82.004/3","5","S"
"407.1","3441","Pri/Sec","Howard Harrison Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/Howard-Harrison-Rd/36.217/-82.038/3","5","S"
"409.2","3595","Pri/Sec","Appalachian Trl","https://www.postholer.com/databook/Appalachian-Trail/Road/Appalachian-Trl/36.216/-82.060/3","5","S"
"414.0","4087","Pri/Sec","Appalachian Trl","https://www.postholer.com/databook/Appalachian-Trail/Road/Appalachian-Trl/36.239/-82.121/3","5","S"
"416.7","2500","Pri/Sec","Dennis Cove Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/Dennis-Cove-Rd/36.264/-82.123/3","5","S"
"416.7","2494","Pri/Sec","Crow Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/Crow-Rd/36.264/-82.123/3","5","S"
"425.1","2017","Pri/Sec","Shook Branch Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/Shook-Branch-Rd/36.301/-82.129/3","5","S"
"425.2","1975","US","US Hwy 321","https://www.postholer.com/databook/Appalachian-Trail/Road/Us-Hwy-321/36.302/-82.128/3","5","S"
"425.2","1975","Pri/Sec","Appalachian Trl","https://www.postholer.com/databook/Appalachian-Trail/Road/Appalachian-Trl/36.302/-82.128/3","5","S"
"425.8","1990","Pri/Sec","Appalachian Trl","https://www.postholer.com/databook/Appalachian-Trail/Road/Appalachian-Trl/36.305/-82.129/3","5","S"
"427.9","2002","Pri/Sec","Lookout Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/Lookout-Rd/36.323/-82.123/3","5","S"
"428.2","2130","Pri/Sec","Appalachian Trl","https://www.postholer.com/databook/Appalachian-Trail/Road/Appalachian-Trl/36.325/-82.120/3","5","S"
"429.2","2230","Pri/Sec","Wilbur Dam Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/Wilbur-Dam-Rd/36.329/-82.112/3","5","S"
"445.5","3500","Pri/Sec","Osborne Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/Osborne-Rd/36.481/-81.961/3","5","S"
"445.5","3500","State","State Rte 91","https://www.postholer.com/databook/Appalachian-Trail/Road/State-Rte-91/36.481/-81.961/3","5","S"
"445.7","3559","Pri/Sec","Osborne Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/Osborne-Rd/36.483/-81.964/3","5","S"
"450.6","3474","Pri/Sec","Jenkins Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/Jenkins-Rd/36.529/-81.966/3","5","S"
"452.0","3382","US","US Hwy 421","https://www.postholer.com/databook/Appalachian-Trail/Road/Us-Hwy-421/36.539/-81.949/3","5","S"
"466.3","1943","State","State Rte T-1203","https://www.postholer.com/databook/Appalachian-Trail/Road/State-Rte-T-1203/36.631/-81.792/3","5","S"
"466.4","1932","State","State Rte T-1202","https://www.postholer.com/databook/Appalachian-Trail/Road/State-Rte-T-1202/36.631/-81.791/3","5","S"
"466.7","1909","Pri/Sec","Virginia Creeper Trl","https://www.postholer.com/databook/Appalachian-Trail/Road/Virginia-Creeper-Trl/36.635/-81.792/3","5","S"
"466.7","1906","Pri/Sec","S Smith St","https://www.postholer.com/databook/Appalachian-Trail/Road/S-Smith-St/36.635/-81.791/3","5","S"
"466.8","1921","State","State Rte T-1223","https://www.postholer.com/databook/Appalachian-Trail/Road/State-Rte-T-1223/36.635/-81.790/3","5","S"
"466.9","1925","State","State Rte T-716","https://www.postholer.com/databook/Appalachian-Trail/Road/State-Rte-T-716/36.635/-81.789/3","5","S"
"467.0","1925","State","State Rte T-1221","https://www.postholer.com/databook/Appalachian-Trail/Road/State-Rte-T-1221/36.634/-81.787/3","5","S"
"467.0","1920","State","State Rte T-1207","https://www.postholer.com/databook/Appalachian-Trail/Road/State-Rte-T-1207/36.634/-81.786/3","5","S"
"467.1","1932","State","State Rte T-1208","https://www.postholer.com/databook/Appalachian-Trail/Road/State-Rte-T-1208/36.634/-81.785/3","5","S"
"467.1","1942","Pri/Sec","S Alley St","https://www.postholer.com/databook/Appalachian-Trail/Road/S-Alley-St/36.634/-81.784/3","5","S"
"467.2","1962","State","State Rte T1215","https://www.postholer.com/databook/Appalachian-Trail/Road/State-Rte-T1215/36.633/-81.784/3","5","S"
"467.3","1965","State","State Rte T-1209","https://www.postholer.com/databook/Appalachian-Trail/Road/State-Rte-T-1209/36.632/-81.783/3","5","S"
"467.4","1955","Pri/Sec","Virginia Creeper Trl","https://www.postholer.com/databook/Appalachian-Trail/Road/Virginia-Creeper-Trl/36.631/-81.783/3","5","S"
"467.4","1955","State","State Rte T1212","https://www.postholer.com/databook/Appalachian-Trail/Road/State-Rte-T1212/36.630/-81.783/3","5","S"
"467.6","1996","Pri/Sec","Virginia Creeper Trl","https://www.postholer.com/databook/Appalachian-Trail/Road/Virginia-Creeper-Trl/36.630/-81.780/3","6","S"
"467.8","2001","US","US Hwy 58","https://www.postholer.com/databook/Appalachian-Trail/Road/Us-Hwy-58/36.628/-81.777/3","6","S"
"475.0","2847","Pri/Sec","Appalachian Trl","https://www.postholer.com/databook/Appalachian-Trail/Road/Appalachian-Trl/36.631/-81.716/3","6","S"
"480.4","2664","Pri/Sec","Virginia Creeper Trl","https://www.postholer.com/databook/Appalachian-Trail/Road/Virginia-Creeper-Trl/36.648/-81.679/3","6","S"
"481.0","2718","County","Co Rd 728","https://www.postholer.com/databook/Appalachian-Trail/Road/Co-Rd-728/36.648/-81.672/3","6","S"
"481.7","2910","County","Co Rd 859","https://www.postholer.com/databook/Appalachian-Trail/Road/Co-Rd-859/36.650/-81.664/3","6","S"
"485.2","3520","County","Co Rd 601","https://www.postholer.com/databook/Appalachian-Trail/Road/Co-Rd-601/36.637/-81.640/3","6","S"
"488.7","5078","Pri/Sec","Mud Creek Ln","https://www.postholer.com/databook/Appalachian-Trail/Road/Mud-Creek-Ln/36.632/-81.602/3","6","S"
"491.0","4448","County","Co Rd 600","https://www.postholer.com/databook/Appalachian-Trail/Road/Co-Rd-600/36.646/-81.583/3","6","S"
"491.1","4448","Pri/Sec","Elk Garden Trl","https://www.postholer.com/databook/Appalachian-Trail/Road/Elk-Garden-Trl/36.646/-81.583/3","6","S"
"508.0","3458","State","State Rte 603","https://www.postholer.com/databook/Appalachian-Trail/Road/State-Rte-603/36.697/-81.506/3","6","S"
"516.4","3284","County","Co Rd 650","https://www.postholer.com/databook/Appalachian-Trail/Road/Co-Rd-650/36.720/-81.462/3","6","S"
"521.7","2601","County","Co Rd 672","https://www.postholer.com/databook/Appalachian-Trail/Road/Co-Rd-672/36.757/-81.491/3","6","S"
"522.6","2447","County","Co Rd 670","https://www.postholer.com/databook/Appalachian-Trail/Road/Co-Rd-670/36.763/-81.493/3","6","S"
"526.5","3238","County","Co Rd 601","https://www.postholer.com/databook/Appalachian-Trail/Road/Co-Rd-601/36.787/-81.472/3","6","S"
"530.6","3231","State","State Rte 16","https://www.postholer.com/databook/Appalachian-Trail/Road/State-Rte-16/36.812/-81.421/3","6","S"
"531.3","3267","County","Co Rd 622","https://www.postholer.com/databook/Appalachian-Trail/Road/Co-Rd-622/36.815/-81.409/3","6","S"
"531.4","3303","Pri/Sec","Appalachian Trl","https://www.postholer.com/databook/Appalachian-Trail/Road/Appalachian-Trl/36.816/-81.408/3","6","S"
"534.6","3595","Pri/Sec","Glade Mountain Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/Glade-Mountain-Rd/36.835/-81.371/3","6","S"
"537.7","3028","Other","Forest Rd 86","https://www.postholer.com/databook/Appalachian-Trail/Road/Forest-Rd-86/36.854/-81.365/3","6","S"
"539.2","2595","County","Co Rd 615","https://www.postholer.com/databook/Appalachian-Trail/Road/Co-Rd-615/36.870/-81.358/3","6","S"
"539.7","2522","County","Co Rd 729","https://www.postholer.com/databook/Appalachian-Trail/Road/Co-Rd-729/36.875/-81.360/3","6","S"
"542.0","2421","US","US Hwy 11","https://www.postholer.com/databook/Appalachian-Trail/Road/Us-Hwy-11/36.887/-81.371/3","6","S"
"542.1","2417","Interstate","I- 81","https://www.postholer.com/databook/Appalachian-Trail/Road/I--81/36.888/-81.371/3","6","S"
"542.2","2417","Interstate","I- 81","https://www.postholer.com/databook/Appalachian-Trail/Road/I--81/36.889/-81.371/3","6","S"
"543.0","2440","County","Co Rd 617","https://www.postholer.com/databook/Appalachian-Trail/Road/Co-Rd-617/36.897/-81.369/3","6","S"
"543.0","2440","Pri/Sec","Davis Valley Rd","https://www.postholer.com/databook/Appalachian-Trail/Road/Davis-Valley-Rd/36.897/-81.369/3","6","S"
"552.1","2647","County","Co Rd 610","https://www.postholer.com/databook/Appalachian-Trail/Road/Co-Rd-610/36.964/-81.391/3","6","S"
"553.5","2421","State","State Rte 742","https://www.postholer.com/databook/Appalachian-Trail/Road/State-Rte-742/36.973/-81.397/3","6","S"
"554.6","2503","State","State Rte 42","https://www.postholer.com/databook/Appalachian-Trail/Road/State-Rte-42/36.983/-81.406/3","6","S"
"561.2","2306","State","State Rte 625","https://www.postholer.com/databook/Appalachian-Trail/Road/State-Rte-625/37.023/-81.425/3","6","S"
"572.1","3884","State","State Rte 623","https://www.postholer.com/databook/Appalachian-Trail/Road/State-Rte-623/37.077/-81.307/3","6","S"
"580.9","2450","State","State Rte 615","https://www.postholer.com/databook/Appalachian-Trail/Road/State-Rte-615/37.103/-81.202/3","6","S"
"588.1","2919","US","US Hwy 52","https://www.postholer.com/databook/Appalachian-Trail/Road/Us-Hwy-52/37.138/-81.130/3","7","S"
"588.2","2939","State","State Rte 612","https://www.postholer.com/databook/Appalachian-Trail/Road/State-Rte-612/37.139/-81.129/3","7","S"
"588.4","2791","Interstate","I- 77","https://www.postholer.com/databook/Appalachian-Trail/Road/I--77/37.139/-81.126/3","7","S"
"588.4","2787","Interstate","I- 77","https://www.postholer.com/databook/Appalachian-Trail/Road/I--77/37.140/-81.126/3","7","S"
"596.9","2814","State","State Rte 611","https://www.postholer.com/databook/Appalachian-Trail/Road/State-Rte-611/37.146/-81.008/3","7","S"
"601.3","2171","State","State Rte 608","https://www.postholer.com/databook/Appalachian-Trail/Road/State-Rte-608/37.157/-80.961/3","7","S"
"606.5","2043","State","State Rte 606","https://www.postholer.com/databook/Appalachian-Trail/Road/State-Rte-606/37.171/-80.902/3","7","S"
"624.2","3566","Pri/Sec","Appalachian Trl","https://www.postholer.com/databook/Appalachian-Trail/Road/Appalachian-Trl/37.270/-80.835/3","7","S"
"632.6","1998","State","State Rte 793","https://www.postholer.com/databook/Appalachian-Trail/Road/State-Rte-793/37.329/-80.751/3","7","S"
"633.1","1633","Pri/Sec","Lane St","https://www.postholer.com/databook/Appalachian-Trail/Road/Lane-St/37.333/-80.751/3","7","S"
"633.1","1624","Pri/Sec","Lost Ln","https://www.postholer.com/databook/Appalachian-Trail/Road/Lost-Ln/37.333/-80.752/3","7","S"
"633.2","1624","State","State Rte 100","https://www.postholer.com/databook/Appalachian-Trail/Road/State-Rte-100/37.333/-80.752/3","7","S"
"633.2","1620","Pri/Sec","Thomas Dr","https://www.postholer.com/databook/Appalachian-Trail/Road/Thomas-Dr/37.333/-80.752/3","7","S"
"633.5","1637","Pri/Sec","Apalachian Trl","https://www.postholer.com/databook/Appalachian-Trail/Road/Apalachian-Trl/37.337/-80.756/3","7","S"
"633.6","1587","Pri/Sec","Thomas Dr","https://www.postholer.com/databook/Appalachian-Trail/Road/Thomas-Dr/37.338/-80.756/3","7","S"
"634.0","1574","US","US Hwy 460","https://www.postholer.com/databook/Appalachian-Trail/Road/Us-Hwy-460/37.342/-80.759/3","7","S"
"634.0","1582","US","US Hwy 460","https://www.postholer.com/databook/Appalachian-Trail/Road/Us-Hwy-460/37.342/-80.759/3","7","S"
"635.3","1676","State","State Rte 641","https://www.postholer.com/databook/Appalachian-Trail/Road/State-Rte-641/37.354/-80.765/3","7","S"
