"Order","Desc","Mile","DTN","DTP","NW","Elev","LPL","HPL","Comment","Link","index","Type","Other"
"34","Blackwell Creek","15.5","0.2","1.2","","2654","2513","2752","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Blackwell-Creek/34.654/-84.052/3","1","W",""
"35","Gooch Mountain","15.7","0.4","0.2","","2732","2644","2736","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Gooch-Mountain/34.656/-84.050/3","1","W",""
"36","Union","16.1","0.8","0.4","","2952","2732","2933","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Union/34.655/-84.045/3","1","W","S"
"37","Mount Airy Creek","16.9","0.2","0.8","","2824","2824","3034","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Mount-Airy-Creek/34.655/-84.035/3","1","W",""
"38","Gooch Gap","17.1","0.1","0.2","","2814","2801","2837","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Gooch-Gap/34.653/-84.034/3","1","W",""
"39","USFS 42 (Gooch Gap)","17.1","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/USFS-42-Gooch-Gap/34.652/-84.032/3","1","W","S"
"40","Cooper Gap Rd","17.2","0.2","0.0","","2818","2801","2821","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Cooper-Gap-Rd/34.652/-84.032/3","1","W","S"
"41","Gooch Gap","17.2","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Gooch-Gap/34.652/-84.032/3","1","W","X"
"42","Lumpkin","17.4","0.7","0.2","","2877","2795","2883","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Lumpkin/34.654/-84.030/3","1","W","X"
"43","Grassy Gap","18.1","0.7","0.7","","2988","2877","3054","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Grassy-Gap/34.663/-84.027/3","1","W",""
"44","Liss Gap","18.8","0.6","0.7","","3031","2906","3087","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Liss-Gap/34.668/-84.026/3","1","W",""
"45","Jacks Gap","19.4","0.2","0.6","","3041","3031","3231","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Jacks-Gap/34.671/-84.017/3","1","W",""
"46","Ramrock Mountain","19.6","0.2","0.2","","3175","3041","3179","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Ramrock-Mountain/34.673/-84.016/3","1","W",""
"47","Tritt Gap","19.8","1.3","0.2","","3024","3008","3175","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Tritt-Gap/34.673/-84.012/3","1","W",""
"48","Suches GA 30572","21.1","0.0","1.3","","3166","3024","3205","34.680000 -84.020000","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Suches-GA-30572/34.678/-84.000/3","1","W",""
"49","Woody Gap","21.1","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Woody-Gap/34.678/-84.000/3","1","W","R X"
"50","State Rte 60","21.1","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/State-Rte-60/34.678/-84.000/3","1","W","R X"
"51","Appalachian Trl","21.1","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Appalachian-Trl/34.678/-83.999/3","1","W","R X"
"52","Blood Mountain Wilderness","21.1","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Blood-Mountain-Wildernes/34.678/-83.999/3","1","W","R X"
"53","Woody Gap","21.1","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Woody-Gap/34.678/-83.999/3","1","W","R X"
"54","Lunsford Gap","21.9","0.4","0.8","","3320","3175","3323","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Lunsford-Gap/34.685/-83.995/3","1","W","R X"
"55","Big Cedar Mountain","22.3","0.4","0.4","","3690","3307","3694","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Big-Cedar-Mountain/34.689/-83.992/3","1","W",""
"56","Augerhole Gap","22.7","0.8","0.4","","3589","3585","3694","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Augerhole-Gap/34.696/-83.992/3","1","W",""
"57","Dan Gap","23.5","0.1","0.8","","3267","3261","3589","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Dan-Gap/34.699/-83.989/3","1","W",""
"58","Granny Top","23.6","0.8","0.1","","3310","3264","3320","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Granny-Top/34.700/-83.987/3","1","W",""
"59","Blood Mountain Wilderness","23.6","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Blood-Mountain-Wildernes/34.707/-83.985/3","1","W",""
"60","Lumpkin","24.4","0.0","0.8","","2860","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Lumpkin/34.707/-83.985/3","1","W",""
"61","Henry Gap","25.2","0.4","0.8","","3067","2860","3110","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Henry-Gap/34.716/-83.980/3","1","W",""
"62","Union","25.6","0.9","0.4","","3215","3064","3238","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Union/34.718/-83.976/3","1","W",""
"63","Appalachian Trl","26.5","0.1","0.9","","3412","3215","3412","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Appalachian-Trl/34.724/-83.970/3","1","W",""
"64","Burnett Field Mountain","26.6","0.3","0.1","","3356","3356","3428","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Burnett-Field-Mountain/34.724/-83.966/3","1","W",""
"65","Jarrard Gap","26.9","0.4","0.3","","3284","3280","3375","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Jarrard-Gap/34.727/-83.965/3","1","W",""
"66","Gaddis Mountain","27.3","0.2","0.4","","3533","3283","3533","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Gaddis-Mountain/34.730/-83.961/3","1","W",""
"67","Horsebone Gap","27.5","0.5","0.2","","3448","3451","3536","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Horsebone-Gap/34.730/-83.958/3","1","W",""
"68","Woods Hole","28.0","0.1","0.5","","3713","3444","3713","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Woods-Hole/34.737/-83.955/3","1","W",""
"69","Turkey Stamp","28.1","0.3","0.1","","3743","3713","3759","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Turkey-Stamp/34.735/-83.951/3","1","W","S"
"70","Bird Gap","28.4","1.3","0.3","","3677","3654","3742","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Bird-Gap/34.738/-83.948/3","1","W",""
"71","Blood Mountain","29.7","1.5","0.0","","4442","3677","4442","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Blood-Mountain/34.740/-83.938/3","1","W",""
"72","Blood Mountain","29.7","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Blood-Mountain/34.740/-83.937/3","1","W","S"
"73","Flatrock Gap","31.2","0.6","1.5","","3444","3441","4448","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Flatrock-Gap/34.735/-83.927/3","1","W","S"
"74","Reese State Memorial","31.8","0.0","0.6","","3270","3257","3451","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Reese-State-Memorial/34.742/-83.921/3","1","W",""
"75","Blood Mountain Wilderness","31.8","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Blood-Mountain-Wildernes/34.739/-83.922/3","1","W",""
"76","Union","31.8","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Union/34.739/-83.922/3","1","W",""
"77","Appalachian Trl","32.1","0.1","0.3","","3097","3097","3267","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Appalachian-Trl/34.735/-83.918/3","1","W",""
"78","Walasi-yi Center","32.1","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Walasi-yi-Center/34.735/-83.918/3","1","W",""
"79","US 129 &amp; US 19 (Neels Gap)","32.1","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/US-129--US-19-Neels-Gap/34.735/-83.918/3","1","W",""
"80","State Rte 11","32.2","0.2","0.0","","3097","3097","3097","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/State-Rte-11/34.735/-83.918/3","1","W",""
"81","Neels Gap","32.2","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Neels-Gap/34.735/-83.918/3","1","W","S X"
"82","Raven Cliffs Wilderness","32.4","0.2","0.2","","3202","3100","3202","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Raven-Cliffs-Wilderness/34.735/-83.916/3","1","W","S X"
"83","Lumpkin","32.6","0.7","0.2","","3300","3202","3300","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Lumpkin/34.734/-83.914/3","1","W",""
"84","Bull Gap","33.3","0.6","0.7","","3645","3300","3643","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Bull-Gap/34.732/-83.907/3","1","W",""
"85","Levelland Mountain","33.9","0.5","0.6","","3828","3643","3874","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Levelland-Mountain/34.731/-83.899/3","1","W",""
"86","Swaim Gap","34.4","0.2","0.5","","3438","3435","3841","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Swaim-Gap/34.727/-83.895/3","1","W",""
"87","Turkeypen Mountain","34.6","0.5","0.2","","3510","3438","3536","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Turkeypen-Mountain/34.725/-83.893/3","1","W",""
"88","Rock Spring Top","35.1","0.5","0.5","","3530","3408","3533","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Rock-Spring-Top/34.726/-83.884/3","1","W",""
"89","Corbin Horse Stamp","35.6","0.3","0.5","","3641","3517","3645","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Corbin-Horse-Stamp/34.723/-83.878/3","1","W",""
"90","Wolf Laurel Top","35.9","0.5","0.3","","3763","3622","3772","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Wolf-Laurel-Top/34.725/-83.875/3","1","W",""
"91","Baggs Creek Gap","36.4","0.5","0.5","","3503","3500","3763","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Baggs-Creek-Gap/34.726/-83.867/3","1","W",""
"92","Green Cliff Top","36.9","0.2","0.5","","3805","3504","3802","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Green-Cliff-Top/34.724/-83.859/3","1","W",""
"93","Cowrock","37.1","0.1","0.2","","3841","3786","3841","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Cowrock/34.722/-83.857/3","1","W",""
"94","White","37.2","0.8","0.1","","3809","3811","3841","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/White/34.722/-83.857/3","1","W",""
"95","Tesnatee Gap","38.0","0.1","0.8","","3139","3139","3809","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Tesnatee-Gap/34.726/-83.848/3","1","W",""
"96","Tesnatee Gap","38.1","0.8","0.1","","3139","3139","3139","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Tesnatee-Gap/34.726/-83.847/3","1","W",""
"97","Richard B Russell Scenic Hwy","38.9","0.1","0.8","","3464","3139","3674","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Richard-B-Russell-Scenic/34.725/-83.839/3","1","W",""
"98","GA 348","39.0","0.0","0.1","","3464","3454","3464","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/GA-348/34.726/-83.840/3","1","W","X"
"99","Mark Trail Wilderness","39.0","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Mark-Trail-Wilderness/34.726/-83.840/3","1","W",""
"100","Hogpen Gap","39.0","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Hogpen-Gap/34.726/-83.839/3","1","W",""
"101","Wolfpen Stamp","39.2","0.1","0.2","","3556","3500","3556","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Wolfpen-Stamp/34.729/-83.838/3","1","W",""
"102","Mark Trail Wilderness","39.3","0.2","0.0","","3595","3556","3595","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Mark-Trail-Wilderness/34.729/-83.836/3","1","W",""
"103","Union","39.3","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Union/34.729/-83.836/3","1","W",""
"104","White","39.5","0.3","0.2","","3562","3562","3608","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/White/34.729/-83.833/3","1","W",""
"105","Appalachian Trl","39.5","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Appalachian-Trl/34.732/-83.830/3","1","W",""
"106","White Oak Stamp Gap","39.8","0.6","0.0","","3458","3457","3461","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/White-Oak-Stamp-Gap/34.732/-83.829/3","1","W",""
"107","Strawberry Top","40.4","0.3","0.6","","3540","3454","3602","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Strawberry-Top/34.740/-83.830/3","1","W",""
"108","Sapling Gap","40.7","0.2","0.3","","3474","3464","3540","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Sapling-Gap/34.743/-83.827/3","1","W",""
"109","Poor Mountain","40.9","0.7","0.2","","3628","3474","3628","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Poor-Mountain/34.746/-83.826/3","1","W",""
"110","Wide Gap","41.6","0.2","0.7","","3182","3185","3628","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Wide-Gap/34.755/-83.828/3","1","W",""
"111","Appalachian Trl","41.8","0.9","0.2","","3339","3172","3339","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Appalachian-Trl/34.759/-83.830/3","1","W",""
"112","Sheep Rock Top","42.7","0.9","0.9","","3559","3339","3546","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Sheep-Rock-Top/34.769/-83.829/3","1","W","X"
"113","Low Gap","43.6","0.1","0.9","","3031","3024","3559","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Low-Gap/34.777/-83.826/3","1","W",""
"114","Low Gap","43.7","1.2","0.1","","3061","3028","3061","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Low-Gap/34.776/-83.825/3","1","W",""
"115","Poplar Stomp Gap","44.9","2.6","1.2","","3343","3044","3369","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Poplar-Stomp-Gap/34.789/-83.813/3","1","W","S"
"116","Appalachian Trl","47.5","0.1","2.6","","3458","3326","3549","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Appalachian-Trl/34.811/-83.810/3","1","W",""
"117","Cold Springs Gap","47.6","1.1","0.1","","3405","3415","3456","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Cold-Springs-Gap/34.811/-83.809/3","1","W","X"
"118","Chattahoochee Gap","48.7","0.1","1.1","","3526","3300","3595","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Chattahoochee-Gap/34.822/-83.797/3","1","W",""
"119","Mark Trail Wilderness","48.8","0.3","0.0","","3507","3461","3530","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Mark-Trail-Wilderness/34.823/-83.796/3","1","W",""
"120","Union","48.8","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Union/34.823/-83.796/3","1","W",""
"121","Chattahoochee River","49.1","0.2","0.3","","3353","3353","3507","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Chattahoochee-River/34.823/-83.791/3","1","W",""
"122","Towns","49.3","0.1","0.2","","3441","3353","3444","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Towns/34.823/-83.788/3","1","W",""
"123","Appalachian Trl","49.4","0.0","0.1","","3435","3421","3438","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Appalachian-Trl/34.822/-83.787/3","1","W",""
"124","Red Clay Gap","49.4","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Red-Clay-Gap/34.822/-83.787/3","1","W","X"
"125","Red Knob","50.4","0.2","1.0","","3608","3428","3638","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Red-Knob/34.818/-83.776/3","1","W","X"
"126","Henson Gap","50.6","0.4","0.2","","3579","3585","3654","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Henson-Gap/34.817/-83.773/3","1","W",""
"127","Blue Mountain Shelter","51.0","0.8","0.4","","3881","3579","3881","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Blue-Mountain-Shelter/34.817/-83.767/3","1","W",""
"128","Blue Mountain","51.8","0.6","0.8","","4015","3841","4019","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Blue-Mountain/34.813/-83.755/3","1","W","S"
"129","Appalachian Trl","52.4","0.6","0.6","","3602","3585","4016","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Appalachian-Trl/34.807/-83.750/3","1","W",""
"130","White","53.0","0.1","0.6","","3034","3041","3602","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/White/34.801/-83.744/3","1","W","X"
"131","Unicoi Gap","53.1","0.1","0.1","","2975","2969","3035","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Unicoi-Gap/34.801/-83.743/3","1","W",""
"132","Helen GA 30545","53.2","0.1","0.0","","2933","2932","2979","34.700000 -83.730000","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Helen-GA-30545/34.802/-83.743/3","1","W",""
"133","Appalachian Trl","53.2","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Appalachian-Trl/34.801/-83.743/3","1","W","R X"
"134","Hiawassee GA 30546","53.3","0.0","0.1","","2929","2929","2932","34.950000 -83.750000","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Hiawassee-GA-30546/34.802/-83.743/3","1","W","R X"
"135","State Rte 17","53.3","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/State-Rte-17/34.802/-83.743/3","1","W","R X"
"136","Hiawassee GA","53.3","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Hiawassee-GA/34.802/-83.743/3","1","W","R X"
"1","GA 75 (Unicoi Gap)","53.3","1.3","","","2939","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/GA-75-Unicoi-Gap/34.801/-83.743/3","2","W","R X"
"2","Appalachian Trl","54.6","1.2","0.0","","4002","2939","4002","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Appalachian-Trl/34.799/-83.731/3","2","W","R X"
"3","Rocky Mountain","54.6","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Rocky-Mountain/34.798/-83.730/3","2","W","X"
"4","USFS 283 (Indian Grave Gap)","54.6","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/USFS-283-Indian-Grave-Ga/34.793/-83.714/3","2","W","X"
"5","Indian Grave Gap Rd","55.8","0.1","0.0","","3113","3113","3113","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Indian-Grave-Gap-Rd/34.793/-83.714/3","2","W","X"
"6","Indian Grave Gap","55.9","0.7","0.1","","3129","3113","3113","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Indian-Grave-Gap/34.793/-83.714/3","2","W","X"
"7","Tray Mountain Rd","56.6","0.8","0.7","","3507","3123","3507","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Tray-Mountain-Rd/34.793/-83.703/3","2","W",""
"8","White","57.4","0.1","0.8","","3838","3507","3854","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/White/34.797/-83.693/3","2","W","X"
"9","Appalachian Trl","57.4","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Appalachian-Trl/34.798/-83.692/3","2","W",""
"10","Towns","57.5","0.1","0.0","","3822","3822","3822","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Towns/34.798/-83.692/3","2","W",""
"11","USFS 79 (Tray Gap)","57.6","0.8","0.0","","3828","3828","3835","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/USFS-79-Tray-Gap/34.799/-83.691/3","2","W",""
"12","Tray Mountain Rd","57.6","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Tray-Mountain-Rd/34.799/-83.691/3","2","W",""
"13","Tray Mountain Wilderness","57.6","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Tray-Mountain-Wilderness/34.799/-83.691/3","2","W",""
"14","Tray Gap","57.6","","","","","","","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Tray-Gap/34.799/-83.692/3","2","W",""
"15","Tray Mountain","58.4","0.2","0.8","","4383","3835","4402","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Tray-Mountain/34.801/-83.684/3","2","W",""
"16","Habersham","58.6","0.3","0.2","","4317","4320","4396","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Habersham/34.801/-83.681/3","2","W",""
"17","Tray Mountain Shelter","58.9","1.1","0.3","","4074","4074","4318","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Tray-Mountain-Shelter/34.804/-83.677/3","2","W",""
"18","Wolfpen Gap","60.0","0.5","1.1","","3566","3546","4101","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Wolfpen-Gap/34.811/-83.663/3","2","W","S"
"19","Steeltrap Gap","60.5","0.4","0.5","","3461","3461","3664","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Steeltrap-Gap/34.816/-83.657/3","2","W",""
"20","Appalachian Trl","60.9","0.1","0.4","","3667","3454","3664","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Appalachian-Trl/34.821/-83.654/3","2","W",""
"21","Young Lick","61.0","0.1","0.1","","3750","3668","3750","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Young-Lick/34.823/-83.652/3","2","W","X"
"22","Rabun","61.1","0.2","0.1","","3750","3750","3763","","https://www.postholer.com/databook/Appalachian-Trail/Waypoint/Rabun/34.824/-83.653/3","2","W",""
